pergunta;resposta
Qual é o contexto e tom institucional da ENS descritos no documento?;A ENS atua há mais de 50 anos, mapeia necessidades, arquiteta soluções de ensino e conecta alunos ao ecossistema; o tom é direto, confiante e voltado à carreira e autoridade.
Quais valores declarados da ENS são citados?;Ética, foco nas metas, respeito, inovação e excelência.
Qual é a regra “Prova > promessa” no documento?;Priorizar prova e evidência em vez de promessas: estrutura, duração, modalidade, requisitos, corpo docente e ecossistema.
Quais termos o documento recomenda evitar por serem promessas absolutas?;“o melhor”, “garantido” e prometer aprovação/certificação como certeza.
Qual é a recomendação sobre CTA?;Sempre incluir um próximo passo único (CTA).
Quais blocos a “oferta padrão” deve refletir?;O que é, para quem, resultado realista, como funciona, provas, segurança (ética/compliance/transparência) e privacidade/cookies.
O que é AIDA e onde aplicar?;Atenção, Interesse, Desejo e Ação; aplicar em anúncios, hero de landing page, cards e abertura de e-mail.
O que é PAS e onde aplicar?;Problema, Agitação e Solução; aplicar em quebra de objeções, criativos de performance e páginas de curso.
No StoryBrand, quem é o herói e quem é o guia?;O aluno/profissional é o herói e a ENS é o guia.
Como o JTBD é estruturado no documento?;“Quando eu (contexto), quero (ação), para (resultado)”.
Quais personas típicas aparecem no JTBD?;Iniciante, corretor em crescimento e profissional de seguradora.
Qual é o framework “Problema → Mecanismo → Prova → CTA”?;Uma estrutura de copy curta para performance que encadeia dor, mecanismo, evidência e ação única.
O que significa 4U e onde aplicar?;Useful, Urgent, Unique, Ultra-specific; aplicar em headlines e assuntos de e-mail.
O que o template de Hero de landing page inclui?;Headline (resultado + nicho + mecanismo), sub (para quem + modalidade + prova), 3 bullets de prova/benefício e CTA.
Como funciona o template de WhatsApp de triagem?;Perguntar perfil, objetivo e preferência de formato/horário e então dar recomendação + próximos passos.
Quais frases de “Autoridade (sem arrogância)” o documento sugere?;“Formação conectada ao que o setor exige.”, “Ensino didático e integrador: teoria + prática.” e “Ecossistema conectado ao mercado de seguros.”
Quais frases de “Segurança/ética” o documento sugere?;“Comunicação com responsabilidade e foco em transparência.” e “Consentimento e privacidade são parte do padrão.”
Qual é o checklist rápido antes de publicar uma peça?;Deixar claro o que é/para quem/como funciona/próximo passo, ter prova explícita, revisar promessas absolutas e respeitar privacidade/consentimento.

