pergunta;resposta
Qual é o contexto do documento “Relacionamento da Marca (ENS)”?;ENS tem mais de 50 anos; o produto é educação e a decisão depende de confiança, prova e clareza; o relacionamento vai de antes da matrícula ao pós-curso.
Quais são os princípios de relacionamento listados?;Ética e transparência, clareza operacional, prova > promessa, proximidade didática, integração com o mercado, consistência omnicanal e aprendizado contínuo.
O que o relacionamento precisa entregar na fase de Descoberta?;Reduzir incerteza sobre carreira e trilha e aumentar percepção de autoridade sem arrogância.
O que o relacionamento precisa entregar na fase de Consideração (lead)?;Diagnosticar rápido o perfil e indicar a melhor trilha, respondendo com precisão.
O que o relacionamento precisa entregar na fase de Decisão (pré-matrícula)?;Tirar fricções (requisitos, valores/condições, calendário, modalidade, suporte) e provar seriedade (ética/privacidade/canais).
O que o relacionamento precisa entregar no Onboarding?;Dar direção de acesso/agenda/materiais/regras e reduzir ansiedade para aumentar presença nas primeiras aulas.
O que o relacionamento precisa entregar durante o curso (Progresso)?;Sustentar engajamento com marcos e apoio e transformar teoria em aplicação (projetos/exercícios/prática guiada).
O que o relacionamento precisa entregar na Conclusão?;Fechar ciclo com clareza (certificação, próximos passos e como usar o aprendizado).
O que o relacionamento precisa entregar no Pós (alumni)?;Manter vínculo com conteúdo/eventos/trilhas e incentivar indicação de forma simples e ética.
Qual é o papel do site na comunicação?;Ser o ponto de verdade, com comunicação mais objetiva sobre trilhas, cursos, requisitos, datas e condições.
Quais são os canais de atendimento citados?;WhatsApp, telefone e e-mail para resolução rápida, com padrão de uma pergunta por vez e encaminhamento claro.
Como segmentar sem invadir privacidade, segundo o documento?;Usar perguntas de intenção (zero-party data): perfil, objetivo e preferência (ao vivo/horários/intensidade).
Como é a régua de captação (lead novo) em 5 passos?;Boas-vindas + diagnóstico, indicação de trilha + prova, conteúdo útil, prova social, CTA de decisão.
Quais objeções aparecem na régua pré-matrícula?;Falta de tempo, medo de ser básico/avançado e insegurança.
Quais são as 4 perguntas do Playbook “Diagnóstico em 60 segundos”?;Perguntar se é iniciante/corretor/seguradora; objetivo (habilitar/especializar/liderar); preferência por aula ao vivo e horário; e então recomendar X por Y e dar próximo passo Z.
Quais métricas o documento sugere acompanhar?;Tempo até primeira resposta no WhatsApp, resolução no primeiro contato, presença na primeira aula, conclusão, NPS, indicações e retorno (recompra).
Quais itens o checklist de qualidade do relacionamento inclui?;Consistência com ética/transparência, prova clara, próximo passo sem esforço, personalização por perguntas simples e canal adequado.

