pergunta;resposta
Qual é a estrutura de funil apresentada no documento?;Uma estrutura de funil “Ampulheta”.
Quais são as 3 etapas do funil “Ampulheta”?;Topo de Funil (Consciência) “O Despertar”, Meio de Funil (Consideração) “A Troca” e Fundo de Funil (Conversão) “A Oferta”.
Qual é o objetivo do Topo de Funil?;Tráfego frio para conteúdo de alto valor (Blog/Vídeo).
Que tipo de criativos o documento sugere no Topo de Funil?;Cortes de podcast sobre tendências, notícias de sinistros grandes e curiosidades sobre apólices.
Quais métricas o documento cita para o Topo de Funil?;CTR (Taxa de Clique) e Video View 50%.
Qual dica técnica específica aparece no Topo de Funil?;Usar o Pixel para criar público de “Visualizou 50% do vídeo”.
Qual é o objetivo do Meio de Funil?;Captura de Lead (CPL).
Que tipos de lead magnet são sugeridos no Meio de Funil?;E-book “Guia de Riscos Cibernéticos para Corretores”, checklist “Como auditar uma apólice empresarial” e masterclass gravada (aula magna gratuita).
O que o documento diz sobre tracking no Meio de Funil?;Que o evento `Lead` no servidor (CAPI) é crucial para otimizar o algoritmo.
Qual é o objetivo do Fundo de Funil?;Venda / Matrícula (ROAS).
Qual público é sugerido no Fundo de Funil?;Remarketing de quem baixou o e-book ou visitou a página do curso (checkout abandonado).
Qual framework de copy é citado para o Fundo de Funil?;PAS (Problema, Agitação, Solução).
Qual frase exemplo de PAS aparece no documento?;“Você baixou o guia, mas ainda não domina a técnica...”
Quais exemplos de ofertas aparecem no Fundo de Funil?;Desconto condicional, bônus exclusivo e garantia de satisfação.

