pergunta;resposta
O que significa “conexão emocional” na comunicação de marketing da ENS?;Conexão emocional é reduzir ansiedade, dar direção e criar pertencimento — não é “ser fofo”.
Qual é a regra prática que liga emoção, prova e ação?;Emoção cria atenção, prova cria confiança e próximo passo cria movimento.
Quais são os pilares emocionais aplicáveis à ENS?;Segurança, direção, competência, pertencimento e reconhecimento.
Qual é o modelo simples recomendado para criar peças de comunicação?;Emoção-alvo → Tensão real → Prova concreta → CTA único.
Como o documento descreve a emoção dominante na educação (ENS)?;Uma mistura de ansiedade (tempo, dinheiro, risco de carreira) e ambição (progresso, reconhecimento).
O que o documento diz sobre como as pessoas decidem e justificam?;Pessoas decidem com emoção e justificam com razão.
Como aplicar JTBD no contexto da ENS?;Usar o formato “Quando eu {contexto}, quero {ação}, para {resultado}” para segmentação e roteiros (WhatsApp, landing pages por público).
No StoryBrand, quem é o herói e qual é o papel da ENS?;O aluno é o protagonista (herói) e a ENS é o guia (método + credenciais + plano).
No checklist Autonomia–Competência–Pertencimento, o que significa “Autonomia”?;Oferecer escolhas claras como trilhas, modalidades e horários.
No checklist Autonomia–Competência–Pertencimento, o que significa “Competência”?;Progresso visível com aulas aplicáveis, critérios e prática.
No checklist Autonomia–Competência–Pertencimento, o que significa “Pertencimento”?;Ecossistema com professores de mercado, comunidade e networking.
Qual é o SOP de mensagem emocional (passo a passo)?;Definir público/momento; escolher 1 emoção-alvo; nomear 1 tensão real; trazer 2–3 provas; dar um próximo passo simples (CTA único).
Para a persona iniciante, qual emoção-alvo e CTA sugeridos?;Direção + segurança; CTA: “Me diga seu objetivo (entrar / se qualificar) e eu te indico a trilha.”
Para a persona corretor em crescimento, qual emoção-alvo e CTA sugeridos?;Reconhecimento + competência; CTA: “Qual linha você quer fortalecer (vida, saúde, riscos, patrimonial)?”
Para a persona profissional de seguradora, qual emoção-alvo e CTA sugeridos?;Progressão + segurança; CTA: “Seu foco é gestão, técnico ou estratégia?”
Como responder à objeção “Tô sem tempo.” segundo o documento?;Validar (“Tempo é o gargalo”), perguntar disponibilidade real por semana, provar que com agenda/formato claros dá pra encaixar, e perguntar preferência (ao vivo ou flexível).
Como responder à objeção “Parece caro.” segundo o documento?;Validar, reenquadrar comparando com custo de estagnação/erro de prioridade, trazer prova (estrutura/duração/professores/trilha), e perguntar qual resultado quer destravar em 90 dias.
Como responder à objeção “Tenho medo de não acompanhar.” segundo o documento?;Validar, provar que pré-requisitos e caminho são claros, e perguntar o nível atual (iniciante/intermediário/avançado).
Quais guardrails o documento recomenda para não virar manipulação?;Não usar medo exagerado, culpa ou promessa absoluta; evitar “garantido”, “o melhor”, “aprovação certa”; sempre incluir prova e transparência; tratar dados pessoais com consentimento e finalidade clara.
Quais métricas o documento sugere acompanhar para ver emoção virando resultado?;Atenção (retenção/tempo/cliques), confiança (respostas em DM/WhatsApp), intenção (cliques em datas/grade/pedidos de trilha), conversão (leads/matrículas), retenção (conclusão/NPS/indicações).

