pergunta;resposta
Qual é a tese do documento sobre redes sociais em 2026?;Redes deixam de ser canais de postagem e viram mecanismos de descoberta, confiança, relacionamento e conversão.
Qual é o diferencial competitivo segundo o documento?;Humanidade + utilidade + consistência (não volume de conteúdo).
O que significa “social vira search”?;As pessoas pesquisam direto em TikTok/Instagram/YouTube e conteúdo que responde perguntas tende a vencer.
Que tipos de perguntas o conteúdo deve responder para vencer em social search?;“como”, “melhor”, “vale a pena”, “passo a passo”, “preço”, “comparação”.
O que muda com saturação + IA?;Cresce conteúdo genérico; ganha quem tem voz humana: histórias reais, bastidores, opinião com base e exemplos.
Como o documento orienta o uso de IA no conteúdo?;IA como ferramenta de rascunho e variação, não de personalidade.
O que é “dark social” no texto?;Migração do relacionamento para espaços privados (WhatsApp, grupos, canais, newsletters); feed é topo e fechamento tende a ocorrer no privado.
Qual é a ideia de “economia da atenção” (primeiros 3 segundos)?;Hook e clareza viram requisito; melhor menos posts e mais peças com intenção.
Como o documento define autenticidade na prática?;Clareza, evidência, assumir limites/trade-offs e consistência de tom e valores (não apenas ser informal).
Quais anti-patterns o documento lista que destroem confiança?;Conteúdo perfeito e vazio, promessa agressiva sem prova, copiar tendência sem adequação, postar e sumir, e “personagem” que muda sempre.
O que é “Social SEO” e quais itens entram no checklist?;Pergunta-alvo no início, palavras-chave no título/caption e texto na tela, resposta objetiva em 10–15s, exemplo prático e CTA único.
Quais formatos funcionam para Descoberta?;Reels/Shorts/TikTok com “3 erros”, “guia rápido”, “antes/depois”, “mitos vs verdade”.
Quais formatos funcionam para Consideração?;Carrossel com checklists/frameworks e vídeo médio com estudo de caso/análise/comparativo.
Quais formatos funcionam para Confiança?;Bastidores, “como fazemos”, depoimentos/recortes de aula/live e séries recorrentes.
Quais formatos funcionam para Conversão?;DM/WhatsApp com triagem curta, live com CTA para inscrição e página objetiva com prova e prazos reais.
Qual é o Playbook “Conteúdo que vira conversa”?;Post com pergunta forte, responder comentários com micro-aulas, fixar comentário com CTA e, no privado, triagem em 3 perguntas.
O que o guia de voz recomenda?;Frases curtas, verbos de ação, menos jargão, opinião com base e fechar com 1 pergunta.
Quais métricas importam (além de vaidade)?;Retenção e conclusão de vídeo, salvamentos/compartilhamentos, taxa/tempo de resposta em comentários, cliques qualificados e conversas iniciadas.

